Row 0: target=0.0, predict_proba=0.2729
Row 311: target=0.0, predict_proba=0.2040
Row 312: target=0.0, predict_proba=0.1477
Row 313: target=0.0, predict_proba=0.8402
Row 314: target=0.0, predict_proba=0.4473
Row 315: target=0.0, predict_proba=0.4337
Row 316: target=0.0, predict_proba=0.1957
Row 317: target=0.0, predict_proba=0.1003
Row 318: target=0.0, predict_proba=0.8153
Row 319: target=0.0, predict_proba=0.0863
Row 320: target=0.0, predict_proba=0.0381
Row 321: target=1.0, predict_proba=0.6220
Row 322: target=0.0, predict_proba=0.0366
Row 323: target=1.0, predict_proba=0.5562
Row 324: target=0.0, predict_proba=0.0522
Row 325: target=0.0, predict_proba=0.0956
Row 326: target=1.0, predict_proba=0.8640
Row 327: target=0.0, predict_proba=0.3568
Row 328: target=0.0, predict_proba=0.5551
Row 329: target=0.0, predict_proba=0.4336
Row 330: target=0.0, predict_proba=0.0759
Row 331: target=0.0, predict_proba=0.3754
Row 332: target=0.0, predict_proba=0.0528
Row 333: target=0.0, predict_proba=0.0499
Row 334: target=0.0, predict_proba=0.1210
Row 335: target=0.0, predict_proba=0.5453
Row 336: target=0.0, predict_proba=0.1637
Row 337: target=1.0, predict_proba=0.6461
Row 338: target=0.0, predict_proba=0.8228
Row 339: target=0.0, predict_proba=0.4537
Row 340: target=0.0, predict_proba=0.4989
Row 341: target=0.0, predict_proba=0.6160
Row 342: target=0.0, predict_proba=0.7222
Row 343: target=0.0, predict_proba=0.8365
Row 344: target=1.0, predict_proba=0.5003
Row 345: target=0.0, predict_proba=0.8029
Row 346: target=0.0, predict_proba=0.6785
Row 347: target=0.0, predict_proba=0.0930
Row 348: target=0.0, predict_proba=0.0392
Row 349: target=0.0, predict_proba=0.2570
Row 350: target=0.0, predict_proba=0.0812
Row 351: target=0.0, predict_proba=0.0113
Row 352: target=0.0, predict_proba=0.7136
Row 353: target=0.0, predict_proba=0.9212
Row 354: target=0.0, predict_proba=0.7092
Row 355: target=0.0, predict_proba=0.3378
Row 356: target=1.0, predict_proba=0.9558
Row 357: target=1.0, predict_proba=0.8448
Row 358: target=0.0, predict_proba=0.0682
Row 359: target=1.0, predict_proba=0.7250
Row 360: target=0.0, predict_proba=0.0400
Row 361: target=0.0, predict_proba=0.1793
Row 362: target=0.0, predict_proba=0.0663
Row 363: target=0.0, predict_proba=0.4247
Row 364: target=0.0, predict_proba=0.0657
Row 365: target=1.0, predict_proba=0.8641
Row 366: target=0.0, predict_proba=0.2934
Row 367: target=0.0, predict_proba=0.6862
Row 368: target=1.0, predict_proba=0.4786
Row 369: target=0.0, predict_proba=0.7561
Row 370: target=0.0, predict_proba=0.0270
Row 371: target=1.0, predict_proba=0.9168
Row 372: target=0.0, predict_proba=0.2635
Row 373: target=0.0, predict_proba=0.5935
Row 374: target=0.0, predict_proba=0.4841
Row 375: target=0.0, predict_proba=0.0922
Row 376: target=0.0, predict_proba=0.5245
Row 377: target=0.0, predict_proba=0.2224
Row 378: target=0.0, predict_proba=0.0978
Row 379: target=0.0, predict_proba=0.6478
Row 380: target=0.0, predict_proba=0.8639
Row 381: target=0.0, predict_proba=0.8961
Row 382: target=0.0, predict_proba=0.1827
Row 383: target=0.0, predict_proba=0.7914
Row 384: target=1.0, predict_proba=0.9067
Row 385: target=0.0, predict_proba=0.0432
Row 386: target=0.0, predict_proba=0.1671
Row 387: target=0.0, predict_proba=0.8082
Row 388: target=0.0, predict_proba=0.9106
Row 389: target=0.0, predict_proba=0.0689
Row 390: target=0.0, predict_proba=0.0241
Row 391: target=0.0, predict_proba=0.2081
Row 392: target=0.0, predict_proba=0.0617
Row 393: target=0.0, predict_proba=0.4288
Row 394: target=0.0, predict_proba=0.4332
Row 395: target=0.0, predict_proba=0.0202
Row 396: target=0.0, predict_proba=0.0117
Row 397: target=0.0, predict_proba=0.2783
Row 398: target=0.0, predict_proba=0.1168
Row 399: target=0.0, predict_proba=0.2287
Row 400: target=0.0, predict_proba=0.0231
Row 401: target=0.0, predict_proba=0.6860
Row 402: target=0.0, predict_proba=0.2432
Row 403: target=1.0, predict_proba=0.2193
Row 404: target=0.0, predict_proba=0.3818
Row 405: target=0.0, predict_proba=0.0349
Row 406: target=1.0, predict_proba=0.5808
Row 407: target=0.0, predict_proba=0.7701
Row 408: target=0.0, predict_proba=0.4632
Row 409: target=0.0, predict_proba=0.1342
Row 410: target=0.0, predict_proba=0.5758
Row 411: target=0.0, predict_proba=0.8857
Row 412: target=0.0, predict_proba=0.0305
Row 413: target=0.0, predict_proba=0.7138
Row 414: target=0.0, predict_proba=0.8048
Row 415: target=1.0, predict_proba=0.6610
Row 416: target=0.0, predict_proba=0.5746
Row 417: target=1.0, predict_proba=0.9720
Row 418: target=0.0, predict_proba=0.5846
Row 419: target=0.0, predict_proba=0.8815
Row 420: target=1.0, predict_proba=0.9679
Row 421: target=0.0, predict_proba=0.0541
Row 422: target=0.0, predict_proba=0.4366
Row 423: target=0.0, predict_proba=0.9009
Row 424: target=0.0, predict_proba=0.0597
Row 425: target=0.0, predict_proba=0.1681
Row 426: target=0.0, predict_proba=0.1589
Row 427: target=0.0, predict_proba=0.2800
Row 428: target=0.0, predict_proba=0.2734
Row 429: target=0.0, predict_proba=0.1012
Row 430: target=0.0, predict_proba=0.2735
Row 431: target=0.0, predict_proba=0.1867
Row 432: target=0.0, predict_proba=0.2378
Row 433: target=0.0, predict_proba=0.2362
Row 434: target=0.0, predict_proba=0.8328
Row 435: target=0.0, predict_proba=0.3415
Row 436: target=0.0, predict_proba=0.0504
Row 437: target=0.0, predict_proba=0.3065
Row 438: target=0.0, predict_proba=0.1406
Row 439: target=0.0, predict_proba=0.0143
Row 440: target=0.0, predict_proba=0.3526
Row 441: target=0.0, predict_proba=0.0214
Row 442: target=0.0, predict_proba=0.0148
Row 443: target=0.0, predict_proba=0.5276
Row 444: target=0.0, predict_proba=0.6450
Row 445: target=0.0, predict_proba=0.0478
Row 446: target=0.0, predict_proba=0.6521
Row 447: target=0.0, predict_proba=0.0333
Row 448: target=0.0, predict_proba=0.3211
Row 449: target=0.0, predict_proba=0.2056
Row 450: target=0.0, predict_proba=0.0165
Row 451: target=0.0, predict_proba=0.4712
Row 452: target=0.0, predict_proba=0.4099
Row 453: target=0.0, predict_proba=0.2962
Row 454: target=0.0, predict_proba=0.1693
Row 455: target=0.0, predict_proba=0.0172
Row 456: target=0.0, predict_proba=0.1113
Row 457: target=0.0, predict_proba=0.1776
Row 458: target=0.0, predict_proba=0.1412
Row 459: target=0.0, predict_proba=0.4285
Row 460: target=0.0, predict_proba=0.7162
Row 461: target=0.0, predict_proba=0.4681
Row 462: target=0.0, predict_proba=0.4684
Row 463: target=0.0, predict_proba=0.7085
Row 464: target=0.0, predict_proba=0.0459
Row 465: target=0.0, predict_proba=0.0120
Row 466: target=0.0, predict_proba=0.0753
Row 467: target=0.0, predict_proba=0.0952
Row 468: target=0.0, predict_proba=0.0836
Row 469: target=1.0, predict_proba=0.8949
Row 470: target=0.0, predict_proba=0.2346
Row 471: target=0.0, predict_proba=0.4313
Row 472: target=0.0, predict_proba=0.0733
Row 473: target=0.0, predict_proba=0.0646
Row 474: target=0.0, predict_proba=0.0135
Row 475: target=0.0, predict_proba=0.2193
Row 476: target=0.0, predict_proba=0.0417
Row 477: target=0.0, predict_proba=0.4977
Row 478: target=0.0, predict_proba=0.3556
Row 479: target=0.0, predict_proba=0.0396
Row 480: target=0.0, predict_proba=0.4613
Row 481: target=0.0, predict_proba=0.1035
Row 482: target=0.0, predict_proba=0.0119
Row 483: target=0.0, predict_proba=0.0689
Row 484: target=0.0, predict_proba=0.5343
Row 485: target=0.0, predict_proba=0.4724
Row 486: target=0.0, predict_proba=0.6232
Row 487: target=0.0, predict_proba=0.6895
Row 488: target=0.0, predict_proba=0.1370
Row 489: target=0.0, predict_proba=0.3238
Row 490: target=0.0, predict_proba=0.0311
Row 491: target=0.0, predict_proba=0.1221
Row 492: target=0.0, predict_proba=0.2522
Row 493: target=0.0, predict_proba=0.3397
Row 494: target=0.0, predict_proba=0.2596
Row 495: target=0.0, predict_proba=0.0107
Row 496: target=1.0, predict_proba=0.5869
Row 497: target=0.0, predict_proba=0.8290
Row 498: target=0.0, predict_proba=0.3856
Row 499: target=0.0, predict_proba=0.0976
Row 500: target=0.0, predict_proba=0.1975
Row 501: target=0.0, predict_proba=0.2448
Row 502: target=0.0, predict_proba=0.1579
Row 503: target=0.0, predict_proba=0.5592
Row 504: target=0.0, predict_proba=0.8158
Row 505: target=0.0, predict_proba=0.0428
Row 506: target=0.0, predict_proba=0.0406
Row 507: target=0.0, predict_proba=0.4363
Row 508: target=0.0, predict_proba=0.1431
Row 509: target=0.0, predict_proba=0.0252
Row 510: target=0.0, predict_proba=0.5450
Row 511: target=0.0, predict_proba=0.2711
Row 512: target=0.0, predict_proba=0.2443
Row 513: target=0.0, predict_proba=0.2025
Row 514: target=0.0, predict_proba=0.3355
Row 515: target=0.0, predict_proba=0.6843
Row 516: target=0.0, predict_proba=0.5431
Row 517: target=1.0, predict_proba=0.7776
Row 518: target=0.0, predict_proba=0.0355
Row 519: target=0.0, predict_proba=0.2479
Row 520: target=0.0, predict_proba=0.1888
Row 521: target=0.0, predict_proba=0.0944
Row 522: target=0.0, predict_proba=0.0301
Row 523: target=0.0, predict_proba=0.6894
Row 524: target=1.0, predict_proba=0.8715
Row 525: target=1.0, predict_proba=0.9589
Row 526: target=0.0, predict_proba=0.0318
Row 527: target=0.0, predict_proba=0.0269
Row 528: target=0.0, predict_proba=0.0143
Row 529: target=0.0, predict_proba=0.0610
Row 530: target=0.0, predict_proba=0.2176
Row 531: target=0.0, predict_proba=0.6268
Row 532: target=0.0, predict_proba=0.8851
Row 533: target=0.0, predict_proba=0.0203
Row 534: target=0.0, predict_proba=0.4705
Row 535: target=0.0, predict_proba=0.3484
Row 536: target=0.0, predict_proba=0.3138
Row 537: target=0.0, predict_proba=0.3369
Row 538: target=1.0, predict_proba=0.6727
Row 539: target=0.0, predict_proba=0.0255
Row 540: target=0.0, predict_proba=0.2705
Row 541: target=0.0, predict_proba=0.0306
Row 542: target=0.0, predict_proba=0.5710
Row 543: target=0.0, predict_proba=0.0862
Row 544: target=0.0, predict_proba=0.5087
Row 545: target=0.0, predict_proba=0.2473
Row 546: target=0.0, predict_proba=0.3108
Row 547: target=0.0, predict_proba=0.2106
Row 548: target=0.0, predict_proba=0.0198
Row 549: target=0.0, predict_proba=0.0151
Row 550: target=0.0, predict_proba=0.3222
Row 551: target=0.0, predict_proba=0.7552
Row 552: target=0.0, predict_proba=0.1976
Row 553: target=0.0, predict_proba=0.7477
Row 554: target=0.0, predict_proba=0.2627
Row 555: target=0.0, predict_proba=0.3225
Row 556: target=0.0, predict_proba=0.0095
Row 557: target=0.0, predict_proba=0.2799
Row 558: target=0.0, predict_proba=0.0357
Row 559: target=0.0, predict_proba=0.6012
Row 560: target=0.0, predict_proba=0.2997
Row 561: target=0.0, predict_proba=0.2783
Row 562: target=0.0, predict_proba=0.1241
Row 563: target=0.0, predict_proba=0.0865
Row 564: target=1.0, predict_proba=0.9446
Row 565: target=0.0, predict_proba=0.4947
Row 566: target=0.0, predict_proba=0.1092
Row 567: target=0.0, predict_proba=0.0256
Row 568: target=0.0, predict_proba=0.0173
Row 569: target=0.0, predict_proba=0.8153
Row 570: target=0.0, predict_proba=0.0062
Row 571: target=0.0, predict_proba=0.1139
Row 572: target=0.0, predict_proba=0.7900
Row 573: target=0.0, predict_proba=0.4606
Row 574: target=1.0, predict_proba=0.4720
Row 575: target=0.0, predict_proba=0.5425
Row 576: target=0.0, predict_proba=0.2008
Row 577: target=0.0, predict_proba=0.0353
Row 578: target=0.0, predict_proba=0.8295
Row 579: target=0.0, predict_proba=0.2774
Row 580: target=0.0, predict_proba=0.0146
Row 581: target=0.0, predict_proba=0.4524
Row 582: target=0.0, predict_proba=0.0735
Row 583: target=0.0, predict_proba=0.4471
Row 584: target=0.0, predict_proba=0.0142
Row 585: target=0.0, predict_proba=0.0425
Row 586: target=0.0, predict_proba=0.6439
Row 587: target=0.0, predict_proba=0.1210
Row 588: target=0.0, predict_proba=0.0257
Row 589: target=0.0, predict_proba=0.7968
Row 590: target=0.0, predict_proba=0.2048
Row 591: target=0.0, predict_proba=0.8408
Row 592: target=0.0, predict_proba=0.1424
Row 593: target=0.0, predict_proba=0.0144
Row 594: target=0.0, predict_proba=0.6486
Row 595: target=0.0, predict_proba=0.2055
Row 596: target=0.0, predict_proba=0.4430
Row 597: target=0.0, predict_proba=0.0109
Row 598: target=0.0, predict_proba=0.5222
Row 599: target=0.0, predict_proba=0.3039
Row 600: target=0.0, predict_proba=0.7720
Row 601: target=0.0, predict_proba=0.1290
Row 602: target=0.0, predict_proba=0.0587
Row 603: target=0.0, predict_proba=0.0333
Row 604: target=1.0, predict_proba=0.6907
Row 605: target=0.0, predict_proba=0.1908
Row 606: target=0.0, predict_proba=0.4693
Row 607: target=0.0, predict_proba=0.2085
Row 608: target=0.0, predict_proba=0.0377
Row 609: target=0.0, predict_proba=0.6496
Row 610: target=0.0, predict_proba=0.7997
Row 611: target=0.0, predict_proba=0.7944
Row 612: target=0.0, predict_proba=0.2304
Row 613: target=0.0, predict_proba=0.3984
Row 614: target=0.0, predict_proba=0.8161
Row 615: target=0.0, predict_proba=0.2233
Row 616: target=0.0, predict_proba=0.6427
Row 617: target=0.0, predict_proba=0.2992
Row 618: target=0.0, predict_proba=0.7731
Row 619: target=0.0, predict_proba=0.7157
Row 620: target=0.0, predict_proba=0.0353
Row 621: target=0.0, predict_proba=0.4334
Row 622: target=0.0, predict_proba=0.0945
Row 623: target=0.0, predict_proba=0.7193
Row 624: target=0.0, predict_proba=0.1884
Row 625: target=0.0, predict_proba=0.1184
Row 626: target=0.0, predict_proba=0.2216
Row 627: target=0.0, predict_proba=0.0308
Row 628: target=0.0, predict_proba=0.1402
Row 629: target=0.0, predict_proba=0.0348
Row 630: target=0.0, predict_proba=0.6467
Row 631: target=0.0, predict_proba=0.7491
Row 632: target=0.0, predict_proba=0.5729
Row 633: target=0.0, predict_proba=0.0837
Row 634: target=0.0, predict_proba=0.5899
